Subparcela ;Muestra;Cosecha ;Peso_fruto;Largo_corteza;Ancho_corteza;Diam_base_corteza;Cicatriz__corteza;Forma__corteza;Peso_corteza;Textura_corteza;Tamaño ventral;Tamaño dorsal;Peso_meso;Textura_meso;Long_endocarpio;Ancho_endocarpio;Haces_vasculares_endocarpio;Acidez_endo;Grados_brix_endo;pH_endo;Grasa total_endo;Fibra cruda_endo;Longitud_semilla;Ancho_semilla;Peso_semilla
Sin fertirriego;M1;Traviesa;148.59;81.79;52.93;31.74;9.06;OVOIDE;35.51;41.596;69.06;76.05;113.1;20.988;34.44;33.79;6;9.867;5.3;6.48;13.95;6.2;32.72;38.95;37.41
Sin fertirriego;M2;Traviesa;147.88;78.64;58.85;36.59;10.95;PIRIFORME;34.55;41.395;68.59;69.15;110.11;21.095;38.84;38.39;5;14.974;5.8;6.24;13.95;6.2;28.74;34.64;22.93
Sin fertirriego;M3;Traviesa;160.5;84.83;60.45;33.77;9.53;PIRIFORME;39.19;40.95;70.97;69.83;89.71;21.698;37.2;27.35;6;15.01;6.2;6.66;14.2;6.3;31;27;32.06
Sin fertirriego;M4;Traviesa;152.19;72.86;48.21;26.02;8.55;OVOIDE;37.25;32.91;68.62;69.38;120.77;20.376;34.12;28.3;5;15.106;5.8;6.72;14.2;6.3;33.2;35.26;32.42
Sin fertirriego;M5;Traviesa;148.7;77.39;60.93;33.07;8.6;PIRIFORME;38.1;41.2;70.23;70.23;113.1;20.12;32.01;25.25;5;15.92;5.6;6.77;13.66;6.7;32.21;37.41;34.25
Sin fertirriego;M6;Traviesa;187.92;89.5;63.41;38.48;11.23;OVOIDE;35.2;38.42;71.1;71.5;112.3;22.32;33.5;27.56;7;14.899;6;6.62;13.66;6.7;31.33;32.24;35.41
Sin fertirriego;M7;Traviesa;158.78;78.3;60.82;35.41;8.25;OVOIDE;31.49;33.58;68.25;69.25;110.35;20.425;31.2;30.05;4;15.041;5.4;6.5;13.92;6.2;27.32;32.26;34.12
Sin fertirriego;M8;Traviesa;160.02;79.21;59.66;34.22;9.01;PIRIFORME;38.22;33.366;68.13;72.1;109.1;22.003;27.24;29.5;3;15.12;5.9;5.45;13.92;6.2;29.25;28.13;37.01
Con fertirriego;M1;Traviesa;143.94;77.39;58.51;39.65;10.05;OVOIDE;37.08;36.426;60.11;72.78;96.68;22.864;28.27;25.22;6;11.147;6.2;6.23;14.89;6.5;33.35;30.87;18.89
Con fertirriego;M2;Traviesa;149.89;83.05;57.14;30.88;9.5;PIRIFORME;34.98;40.738;68.79;71.73;108.7;20.62;27.51;27.8;7;16.501;4.8;6.48;14.89;6.5;30;29.14;15.67
Con fertirriego;M3;Traviesa;159.88;83.7;57.41;32.36;9.31;ESFÉRICO;35.21;32.826;62.1;72.99;102.2;19.309;32.98;26.69;6;15.945;4.9;6.45;14.65;6.8;32.07;34.32;22.54
Con fertirriego;M4;Traviesa;147.18;78.42;57.42;34.84;10.48;PIRIFORME;37.24;34.352;72.3;69.85;144.66;20.356;29.4;30.23;5;15.23;5.1;6.41;14.65;6.8;36.68;32.46;23.22
Con fertirriego;M5;Traviesa;142.99;81.66;52.25;33.22;9.94;PIRIFORME;38.42;39.218;62.3;69.86;98.61;24.381;34.45;34.08;7;15.128;5;6.21;15.22;6.7;31.67;36.22;25.86
Con fertirriego;M6;Traviesa;166.38;83.85;58.88;34.63;8.13;OVOIDE;33.5;41.481;60.5;68.23;108.01;21.259;31.1;31.05;6;14.815;4.7;6.41;15.22;6.7;33.21;32.27;23.89
Con fertirriego;M7;Traviesa;162.02;82.15;62.1;34.74;10.1;OVOIDE;35.2;40.23;69.28;69.57;99.21;22.297;35.3;32.74;4;11.501;5.1;6.31;15.21;7.1;32.25;35.21;27.41
Con fertirriego;M8;Traviesa;171.23;85.21;59.6;32.44;9.98;PIRIFORME;31.49;33.58;67.23;69.72;98.52;24.235;33.49;31.32;5;16.5;4.8;6.41;15.21;7.1;31.42;34.5;29.27
Sin fertirriego;M1;Principal;187.49;85.88;65.53;45.97;10.63;PIRIFORME;36.17;24.564;26.61;11.17;117.47;16.649;42.15;35.12;6;15.926;4;.;7.6;4.3;40.05;37.94;33.38
Sin fertirriego;M2;Principal;193.01;93.16;63.57;51.49;9.61;PIRIFORME;40.18;56.882;40.82;14.47;134.19;30.578;31.26;30.7;4;9.472;3.9;.;10.5;2.8;31.53;31.09;18.44
Sin fertirriego;M3;Principal;165.49;85.89;65.87;47.03;10.57;ESFÉRICO;38.72;33.574;39.6;14.58;113.48;31.967;27.94;25.15;5;9.3;3.9;.;10;4.4;28.05;28.07;5.84
Sin fertirriego;M4;Principal;232.57;99.08;65.22;62.74;9.09;PIRIFORME;54.26;30.756;36.76;15.14;148.58;30.974;37.26;34.01;6;11.05;3.7;.;.;.;38.96;35.85;29.33
Sin fertirriego;M5;Principal;195.26;93.41;62.49;60.57;9.86;OVOIDE;43.54;36.582;32.33;14.06;126.72;32.979;34.06;30.5;5;10.826;5.6;.;.;.;32.07;35.24;24.72
Sin fertirriego;M6;Principal;169.8;89;62.49;51.07;8.38;PIRIFORME;38.94;38.769;35.09;11.94;113.79;36.007;29.9;30.36;6;7.307;4.9;.;.;.;30.81;30.21;16.79
Con fertirriego;M1;Principal;219.69;99.75;67.36;35.45;11.29;OVOIDE;51.44;25.093;38.38;14.17;128.87;32.431;38.68;38.06;4;18.237;5.6;.;13.1;2.4;37.06;37.57;37.04
Con fertirriego;M2;Principal;186.4;86.28;67.47;54.99;11.61;PIRIFORME;41.42;43.135;29.85;12.07;109.24;27.576;38.89;36.5;5;16.79;4;.;10.3;4.5;37.18;38.04;34.51
Con fertirriego;M3;Principal;206.16;92.06;68.46;54.73;10.75;PIRIFORME;40.11;38.201;33.01;12.1;127.77;28.959;39.95;39.49;5;14.72;4.7;.;11.5;2.8;37.52;39.71;37.81
Con fertirriego;M4;Principal;206.23;94.94;65.9;49.31;10.57;PIRIFORME;43.04;37.515;35.58;14.6;128.97;34.575;38.49;36.56;5;10.879;4.2;.;.;.;36.84;39.12;36.55
Con fertirriego;M5;Principal;161.64;88.28;68.32;35.91;9.96;PIRIFORME;38.03;38.269;34.76;15.04;105.35;34.573;39.48;25.43;6;17.766;3.9;.;.;.;32.25;30.1;18.1
Con fertirriego;M6;Principal;197.17;88.97;65.41;45.06;9.87;PIRIFORME;40.96;38.394;30.68;15.17;129.99;36.243;34.1;32.85;5;13.767;4.4;.;.;.;35.75;34.65;25.87
